発表者,タイトル,会議名,会議リンク,会議期間,開催地,発表日,備考,査読,招待,英語,ポスター
○Keiichiro KAGAWA and Mitsuharu ÔTANI,On the existence of the global solutions of the viscous Cahn-Hilliard equation,"The 12th AIMS Conference on Dynamical Systems, Differential Equations and Applications",http://www.aimsciences.org/conferences/2018/,,"Taipei, Taiwan",2018/07/08,,,1,1,
"○香川渓一郎, 大谷光春",On the global solutions of the viscous Cahn-Hilliard equation,第25回応用解析研究会シンポジウム,https://docs.wixstatic.com/ugd/357376_1d9326fb4a614d828cab24e6d333a8c7.pdf,,静岡 (熱海温泉「ホテル大野屋」),2018/03/12,,,,
